"id","generation","time_period","primary_console","game_media","price","id-2","first_name","last_name","designation","age","salary","unit"
NULL,NULL,NULL,NULL,NULL,NULL,1,"TOMASA","ARMEN","Analyst",21,44570,"Finance"
NULL,NULL,NULL,NULL,NULL,NULL,2,"ANNIE",NULL,"Associate",NULL,89207,"Web"
NULL,NULL,NULL,NULL,NULL,NULL,3,"OLIVE","ANCY","Analyst",21,40955,"Finance"
NULL,NULL,NULL,NULL,NULL,NULL,4,"CHERRY","AQUILAR","Analyst",22,45550,"IT"
NULL,NULL,NULL,NULL,NULL,NULL,5,"LEON","ABOULAHOUD","Analyst",NULL,43161,"Operations"
NULL,NULL,NULL,NULL,NULL,NULL,6,"VICTORIA",NULL,"Analyst",22,48736,"Marketing"
NULL,NULL,NULL,NULL,NULL,NULL,7,"ELLIOT","AGULAR","Analyst",22,40339,"Marketing"
NULL,NULL,NULL,NULL,NULL,NULL,8,"JACQUES","AKMAL","Analyst",NULL,40058,"Marketing"
NULL,NULL,NULL,NULL,NULL,NULL,9,"KATHY","ALSOP","Senior Analyst",28,63478,"Operations"
NULL,NULL,NULL,NULL,NULL,NULL,10,"LILIAN","APELA","Analyst",22,43110,"Finance"
NULL,NULL,NULL,NULL,NULL,NULL,11,"BELLE","ARDS","Analyst",24,41590,"Marketing"
NULL,NULL,NULL,NULL,NULL,NULL,12,"VIRGIL","ACKIES","Senior Manager",36,160613,"Finance"
NULL,NULL,NULL,NULL,NULL,NULL,13,"WELDON","AIVAO","Analyst",24,44828,"Finance"
NULL,NULL,NULL,NULL,NULL,NULL,14,"BOYD","AFTON","Analyst",21,45830,"Web"
NULL,NULL,NULL,NULL,NULL,NULL,15,"BART","AGUILLERA","Analyst",24,43457,"Management"
NULL,NULL,NULL,NULL,NULL,NULL,16,"CORINNE","ANDRZEJCZYK","Analyst",21,44812,"IT"
NULL,NULL,NULL,NULL,NULL,NULL,17,"ALONZO","ADSIDE","Analyst",25,47636,"Finance"
NULL,NULL,NULL,NULL,NULL,NULL,18,"ROYCE","AGOSTO","Analyst",24,48651,"Web"
NULL,NULL,NULL,NULL,NULL,NULL,19,"BURTON","AGUILER","Analyst",23,40411,"Management"
NULL,NULL,NULL,NULL,NULL,NULL,20,"PHILLIP","ABDULA","Analyst",24,44665,"Web"
NULL,NULL,NULL,NULL,NULL,NULL,21,"ORVILLE","ADNEY","Analyst",25,46941,"Marketing"
NULL,NULL,NULL,NULL,NULL,NULL,22,"KORY","ALEGRIA","Analyst",22,47734,"Marketing"
