"id","generation","time_period","primary_console","game_media","price","id-2","first_name","last_name","designation","age","salary","unit"
38,"First","1972-1978","Magnavox Odyssey","Dedicated consoles"," $99.00 ",38,"MICKEY","AGRAMONTE","Analyst",22,49326,"Web"
39,"First","1972-1979","Home Pong","Dedicated consoles"," $98.95 ",39,"ROSIE","AMILL","Analyst",24,49901,"Web"
40,"First","1972-1980","Coleco Telstar series","Dedicated consoles"," $50.00 ",40,"GAVIN","AINI","Analyst",24,42529,"IT"
41,"Second","1976-1984","Fairchild Channel F","Game cartridges"," $169.95 ",41,"ANNABELLE","ANTROBUS","Analyst",25,44448,"Finance"
42,"Second","1976-1985","Atari 2600","Game cartridges"," $199.00 ",42,"CHRISTINE","ALPHONSE","Senior Manager",39,175497,"Marketing"
43,"Second","1976-1986","Mattel Intellivision","Game cartridges"," $299.00 ",43,"MELODIE","ARMENT","Analyst",25,47739,"IT"
44,"Second","1976-1987","Magnavox Odyssey 2","Game cartridges"," $199.00 ",44,"MICHELL","ARCH","Analyst",25,49046,"Web"
45,"Second","1976-1988","ColecoVision","Game cartridges"," $199.00 ",45,"ANDREW","ABALOZ","Analyst",25,47961,"Operations"
46,"Third","1983-1991","Nintendo Entertainment System","Game cartridges"," $180.00 ",46,"LUCRETIA","ARGYLE","Associate",29,96378,"Operations"
47,"Third","1983-1992","Sega Master System","Game cartridges"," $199.99 ",47,"JODY","ADOLFO","Associate",32,76411,"IT"
48,"Third","1983-1993","Atari 7800","Game cartridges"," $140.00 ",48,"GILDA","ARANCIBIA","Analyst",23,40264,"Web"
49,"Fourth","1987-1996","TurboGrafx-16","Game cartridges"," $199.00 ",49,"JOSPEH","ALLIS","Analyst",22,45364,"Web"
50,"Fourth","1987-1997","Sega Genesis","Game cartridges"," $189.99 ",50,"KING","ALIMENT","Analyst",22,42013,"Web"
51,"Fourth","1987-1998","Neo Geo","Game cartridges"," $650.00 ",51,"KURT","ACEVEDO","Analyst",25,42362,"Marketing"
52,"Fourth","1987-1999","Super Nintendo Entertainment System","Game cartridges"," $199.99 ",52,"LYNNETTE","APRUZZESE","Analyst",25,44620,"Finance"
53,"Fourth","1987-2000","Game Gear","Game cartridges"," $149.99 ",53,"DANIELA","ARIAIL","Analyst",23,43285,"Operations"
54,"Fourth","1987-2001","Game Boy","Game cartridges"," $89.95 ",54,"CARI","ARENALES","Senior Analyst",28,66338,"Web"
55,"Fifth","1993-2001","Sega Saturn","Optical media"," $399.99 ",55,"ANGELITA","ARAGUS","Analyst",25,46436,"IT"
56,"Fifth","1993-2002","Sony PlayStation","Optical Meda"," $299.99 ",56,"ISABELLE","ANGERMAN","Analyst",24,49705,"Management"
57,"Fifth","1993-2003","Game Boy Color","Game Cartridges"," $69.99 ",57,"NORBERT","AHALT","Analyst",21,40095,"Management"
58,"Fifth","1993-2004","Nintendo 64","Game Cartridges"," $199.99 ",58,"PAULINE","ALTSHULER","Senior Analyst",28,61647,"Finance"
59,"Sixth","1998-2006","Sega Dreamcast","Optical media"," $199.99 ",59,"JANETTE","ANEZ","Analyst",21,42811,"Marketing"
60,"Sixth","1998-2007","Sony PlayStation 2","Optical media"," $299.99 ",60,"CHARLENE","AMANO","Analyst",25,47365,"Finance"
61,"Sixth","1998-2008","Nintendo GameCube","Optical media"," $199.99 ",61,"HOWARD","ABDELWAHED","Analyst",22,45721,"Operations"
62,"Sixth","1998-2009","Game Boy Advance","Game Cartridges"," $99.99 ",62,"PAUL","AANENSON","Analyst",25,49976,"Web"
63,"Sixth","1998-2010","Microsoft Xbox","Optical media"," $299.99 ",63,"CORTEZ","ALLINDER","Analyst",21,42650,"Marketing"
64,"Seventh","2004-2014","Microsoft Xbox 360","Optical media, digital distribution"," $399.99 ",64,"AHMAD","ALCANTARA","Analyst",25,44632,"Management"
65,"Seventh","2004-2015","Sony PlayStation 3","Optical media, digital distribution"," $599.99 ",65,"JONAH","ALEWINE","Analyst",25,48389,"Operations"
66,"Seventh","2004-2016","Nintendo DS","Game Cartridges, Digital distribution"," $149.99 ",66,"DARIN","AFABLE","Analyst",21,48665,"Operations"
67,"Seventh","2004-2017","Playstation Portable","Optical media, digital distribution"," $249.99 ",67,"ALONSO","ALMANZA","Associate",31,72886,"Management"
68,"Seventh","2004-2018","Nintendo Wii","Optical media, digital distribution"," $249.99 ",68,"RENE","ANKLAM","Analyst",21,45225,"IT"
69,"Eighth","2011-Present","Nintendo Wii U","Optical media, digital distribution"," $299.99 ",69,"RILEY","AIKINS","Senior Analyst",25,60712,"Finance"
70,"Eighth","2011-Present","Sony PlayStation 4","Optical media, digital distribution"," $399.99 ",70,"WYATT","ALBERTS","Analyst",24,41290,"Operations"
71,"Eighth","2011-Present","Microsoft Xbox One","Optical media, digital distribution"," $499.99 ",71,"KIMBERLEE","ARCIGA","Analyst",21,44993,"IT"
72,"Eighth","2011-Present","Nintendo 3DS","Game cartridges. Digital Distribution"," $249.99 ",72,"KRISTA","AMRICH","Analyst",24,46118,"IT"
73,"Eighth","2011-Present","Playstation Vita","Optical media, digital distribution"," $299.99 ",73,"MARYJANE","ARES","Senior Analyst",25,65212,"Management"
74,"Eighth","2011-Present","Nintendo Switch","Game cartridges. Digital Distribution"," $299.99 ",74,"SAVANNAH","APREA","Senior Manager",38,193621,"Operations"
75,"Ninth","2020–present","Microsoft Xbox Series X","Optical media, digital distribution"," $499.99 ",75,"NATALIE","AMALONG","Analyst",23,44223,"Marketing"
76,"Ninth","2020–present","Microsoft Xbox Series S","Optical media, digital distribution"," $299.99 ",76,"MARY","ALMESTICA","Senior Analyst",27,53339,"Finance"
77,"Ninth","2020–present","Sony PlayStation 5 (Digital Edition)","Optical media, digital distribution"," $499.99 ",77,"KAYLA","AMLIN","Analyst",24,43638,"Web"
78,"Ninth","2020–present","Sony PlayStation 5 (Disc Edition)","Optical media, digital distribution"," $399.99 ",78,"JULIAN","ACKERLEY","Analyst",22,44963,"Marketing"
79,"First","1972-1978","Magnavox Odyssey","Dedicated consoles"," $99.00 ",79,"JO","AMBLER","Analyst",21,42686,"Marketing"
80,"First","1972-1979","Home Pong","Dedicated consoles"," $98.95 ",80,"KASEY","APFEL","Analyst",21,40381,"Web"
81,"First","1972-1980","Coleco Telstar series","Dedicated consoles"," $50.00 ",81,"IONA","ARGALL","Analyst",21,48461,"Finance"
82,"Second","1976-1984","Fairchild Channel F","Game cartridges"," $169.95 ",82,"ALBERTA","AMIS","Analyst",25,46584,"Marketing"
83,"Second","1976-1985","Atari 2600","Game cartridges"," $199.00 ",83,"WILMER","AKIONA","Senior Analyst",25,50739,"IT"
84,"Second","1976-1986","Mattel Intellivision","Game cartridges"," $299.00 ",84,"MELVIN","ABERNATHA","Associate",31,82083,"Management"
85,"Second","1976-1987","Magnavox Odyssey 2","Game cartridges"," $199.00 ",85,"CORA","AMESQUITA","Analyst",23,40324,"Operations"
86,"Second","1976-1988","ColecoVision","Game cartridges"," $199.00 ",86,"EVERETT","ACHILLES","Analyst",23,44001,"Management"
87,"Third","1983-1991","Nintendo Entertainment System","Game cartridges"," $180.00 ",87,"DOTTIE","ARDREY","Analyst",22,43059,"Management"
88,"Third","1983-1992","Sega Master System","Game cartridges"," $199.99 ",88,"CORINE","APAEZ","Analyst",24,41685,"Finance"
89,"Third","1983-1993","Atari 7800","Game cartridges"," $140.00 ",89,"DARIO","ALESSI","Associate",28,95982,"Operations"
90,"Fourth","1987-1996","TurboGrafx-16","Game cartridges"," $199.00 ",90,"HILDA","AMBROSIUS","Analyst",23,44699,"Management"
91,"Fourth","1987-1997","Sega Genesis","Game cartridges"," $189.99 ",91,"ELOISA","ARGIE","Senior Analyst",28,52690,"Marketing"
92,"Fourth","1987-1998","Neo Geo","Game cartridges"," $650.00 ",92,"HEIDI","AMAZAN","Analyst",21,40041,"Management"
