"id","generation","time_period","primary_console","game_media","price","id-2","first_name","last_name","designation","age","salary","unit","temperature","humidity","is_cloud","atmosphere","season"
42,"Second","1976-1985","Atari 2600","Game cartridges"," $199.00 ",42,"CHRISTINE","ALPHONSE","Senior Manager",39,175497,"Marketing","36",22,"clear","1028.63","Summer"
47,"Third","1983-1992","Sega Master System","Game cartridges"," $199.99 ",47,"JODY","ADOLFO","Associate",32,76411,"IT","33",66,"partly cloudy","1014.34","Autumn"
67,"Seventh","2004-2017","Playstation Portable","Optical media, digital distribution"," $249.99 ",67,"ALONSO","ALMANZA","Associate",31,72886,"Management","25",89,"partly cloudy","1017.16","Summer"
74,"Eighth","2011-Present","Nintendo Switch","Game cartridges. Digital Distribution"," $299.99 ",74,"SAVANNAH","APREA","Senior Manager",38,193621,"Operations","31",62,"overcast","1013.61","Spring"
84,"Second","1976-1986","Mattel Intellivision","Game cartridges"," $299.00 ",84,"MELVIN","ABERNATHA","Associate",31,82083,"Management","31",62,"overcast","1019.92","Summer"
104,"Sixth","1998-2010","Microsoft Xbox","Optical media"," $299.99 ",104,"YONG","ALDERFER","Manager",33,129191,"Operations","-3",82,"overcast","991.66","Winter"
107,"Seventh","2004-2016","Nintendo DS","Game Cartridges, Digital distribution"," $149.99 ",107,"REINA","ARMAGOST","Manager",33,108665,"Finance","29",47,"clear","1027.33","Summer"
108,"Seventh","2004-2017","Playstation Portable","Optical media, digital distribution"," $249.99 ",108,"ERICKA","ANTHONY","Associate",32,76964,"Management","13",80,"overcast","1012.06","Autumn"
115,"Eighth","2011-Present","Nintendo Switch","Game cartridges. Digital Distribution"," $299.99 ",115,"ALLAN","ACEVES","Senior Manager",38,189435,"Marketing","2",80,"overcast","995.74","Winter"
134,"Fourth","1987-1999","Super Nintendo Entertainment System","Game cartridges"," $199.99 ",134,"KELLI","AMORIELLO","Manager",35,140926,"Finance","-2",91,"overcast","982.21","Winter"
161,"First","1972-1978","Magnavox Odyssey","Dedicated consoles"," $99.00 ",161,"NICOLE","ALSOBROOK","Director",41,323196,"Marketing","18",88,"overcast","997.61","Winter"
165,"Second","1976-1985","Atari 2600","Game cartridges"," $199.00 ",165,"BOOKER","AKRIGHT","Associate",32,83066,"IT","3",75,"overcast","980.47","Winter"
167,"Second","1976-1987","Magnavox Odyssey 2","Game cartridges"," $199.00 ",167,"DEREK","ABOULISSAN","Director",42,388112,"Marketing","26",43,"partly cloudy","1024.37","Summer"
173,"Fourth","1987-1997","Sega Genesis","Game cartridges"," $189.99 ",173,"DELPHINE","AREVALO","Director",43,284733,"Web","30",58,"overcast","1018.95","Winter"
199,"Ninth","2020–present","Microsoft Xbox Series S","Optical media, digital distribution"," $299.99 ",199,"ELDON","AGOFF","Manager",33,107432,"Web","-2",32,"overcast","930.32","Winter"
204,"First","1972-1980","Coleco Telstar series","Dedicated consoles"," $50.00 ",204,"CYRUS","ALANIS","Senior Manager",36,186356,"Finance","34",78,"overcast","1014.07","Summer"
229,"Seventh","2004-2015","Sony PlayStation 3","Optical media, digital distribution"," $599.99 ",229,"MICHEAL","ABLEMAN","Director",43,313649,"IT","73",82,"overcast","1002.73","Winter"
241,"Ninth","2020–present","Sony PlayStation 5 (Digital Edition)","Optical media, digital distribution"," $499.99 ",241,"LUANN","APERGES","Manager",35,129017,"Operations","27",54,"partly cloudy","1015.78","Summer"
244,"First","1972-1979","Home Pong","Dedicated consoles"," $98.95 ",244,"WILFRED","ADOLPHSEN","Associate",32,97708,"IT","33",69,"clear","1026.28","Autumn"
248,"Second","1976-1986","Mattel Intellivision","Game cartridges"," $299.00 ",248,"SHARLENE","ARBUTHNOT","Senior Manager",39,191793,"IT","28",108,"partly cloudy","1018.84","Summer"
